GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargettied diagonal,MtypeNonTargte mvg, and prior 0.1 is 0.40110406091370565
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargettied diagonal,MtypeNonTargte tied, and prior 0.1 is 0.3784263959390863
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargettied diagonal,MtypeNonTargte diagonal, and prior 0.1 is 0.3923096446700508
GMM, minDCF NO PCA with nTarget 2,nNonTarget16,MTypeTargettied diagonal,MtypeNonTargte tied diagonal, and prior 0.1 is 0.39885786802030454
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargetmvg,MtypeNonTargte mvg, and prior 0.1 is 0.37489847715736047
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargetmvg,MtypeNonTargte tied, and prior 0.1 is 0.3321446700507614
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargetmvg,MtypeNonTargte diagonal, and prior 0.1 is 0.3418781725888324
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargetmvg,MtypeNonTargte tied diagonal, and prior 0.1 is 0.3466243654822335
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargettied,MtypeNonTargte mvg, and prior 0.1 is 0.3845431472081218
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargettied,MtypeNonTargte tied, and prior 0.1 is 0.33878172588832484
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargettied,MtypeNonTargte diagonal, and prior 0.1 is 0.345761421319797
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargettied,MtypeNonTargte tied diagonal, and prior 0.1 is 0.35912436548223353
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargetdiagonal,MtypeNonTargte mvg, and prior 0.1 is 0.3712690355329949
